-0.26,0.18,10.03,0.02,-0.00,-0.01,28.71
-0.25,0.18,10.01,0.02,0.00,-0.01,28.72
-0.24,0.18,10.03,0.02,-0.00,-0.01,28.71
-0.24,0.18,10.02,0.02,-0.00,-0.01,28.72
-0.25,0.19,10.04,0.02,0.00,-0.01,28.72
-0.25,0.19,10.02,0.02,0.00,-0.01,28.72
-0.25,0.19,10.02,0.02,0.00,-0.01,28.73
-0.24,0.19,10.01,0.02,0.00,-0.01,28.72
-0.25,0.20,10.01,0.02,0.00,-0.01,28.72
-0.25,0.19,10.02,0.02,0.00,-0.01,28.73
-0.25,0.18,10.02,0.02,0.00,-0.01,28.73
-0.25,0.19,10.02,0.02,0.00,-0.01,28.73
-0.25,0.18,10.02,0.02,0.00,-0.01,28.73
-0.25,0.20,10.02,0.02,0.00,-0.01,28.74
-0.25,0.19,10.02,0.02,0.00,-0.01,28.73
-0.25,0.19,10.02,0.02,0.00,-0.01,28.74
-0.25,0.20,10.01,0.02,0.00,-0.01,28.74
-0.25,0.19,10.03,0.02,0.00,-0.01,28.75
-0.25,0.19,10.03,0.02,0.00,-0.01,28.74
-0.25,0.19,10.02,0.02,0.00,-0.01,28.75
-0.26,0.19,10.01,0.02,0.00,-0.01,28.75
-0.25,0.19,10.01,0.02,0.00,-0.01,28.75
-0.25,0.20,10.01,0.02,0.00,-0.01,28.75
-0.24,0.19,10.00,0.02,0.00,-0.01,28.76
-0.24,0.20,10.01,0.02,0.00,-0.01,28.76
-0.24,0.20,10.02,0.02,0.00,-0.01,28.77
-0.25,0.19,10.03,0.02,0.00,-0.01,28.77
-0.26,0.19,10.03,0.02,0.00,-0.01,28.77
-0.25,0.19,10.02,0.02,0.00,-0.01,28.77
-0.25,0.19,10.01,0.02,-0.00,-0.01,28.78
-0.26,0.18,10.00,0.02,-0.00,-0.01,28.78
-0.25,0.19,10.01,0.02,0.00,-0.01,28.78
-0.24,0.19,10.02,0.02,0.00,-0.01,28.77
-0.25,0.19,10.02,0.02,-0.00,-0.01,28.77
-0.26,0.19,10.02,0.02,0.00,-0.01,28.77
-0.25,0.19,10.01,0.02,0.00,-0.01,28.79
-0.24,0.18,10.01,0.02,-0.00,-0.01,28.79
-0.25,0.19,10.02,0.02,-0.00,-0.01,28.78
-0.25,0.18,10.02,0.02,-0.00,-0.01,28.79
-0.26,0.19,10.02,0.02,0.00,-0.01,28.79
-0.25,0.19,10.01,0.02,0.00,-0.01,28.79
-0.25,0.19,10.01,0.02,0.00,-0.01,28.79
-0.25,0.19,10.02,0.02,-0.00,-0.01,28.79
-0.25,0.20,10.00,0.02,0.00,-0.01,28.80
-0.25,0.18,10.03,0.02,0.00,-0.01,28.81
-0.24,0.18,10.01,0.02,0.00,-0.01,28.80
-0.26,0.19,10.01,0.02,0.00,-0.01,28.81
-0.25,0.20,10.01,0.02,0.00,-0.01,28.81
-0.24,0.19,10.02,0.02,0.00,-0.01,28.81
-0.24,0.19,10.02,0.02,0.00,-0.01,28.82
-0.25,0.20,10.03,0.02,0.00,-0.01,28.82
-0.25,0.19,10.02,0.02,0.00,-0.01,28.82
-0.25,0.19,10.03,0.02,0.00,-0.01,28.82
-0.26,0.18,10.01,0.02,-0.00,-0.01,28.82
-0.25,0.19,10.02,0.02,0.00,-0.01,28.83
-0.25,0.18,10.02,0.02,0.00,-0.01,28.82
-0.24,0.19,10.03,0.02,0.00,-0.01,28.83
